Logo,Company,Industry
https://upload.wikimedia.org/wikipedia/commons/1/15/3M_wordmark.svg,3M Company,Manufacturing
https://upload.wikimedia.org/wikipedia/commons/0/0c/A.T._Kearney_20xx_logo.svg,"A.T. Kearney, Inc.",Consulting
https://upload.wikimedia.org/wikipedia/commons/3/36/Abbvie_logo.png,AbbVie,Pharmaceutical Products
https://upload.wikimedia.org/wikipedia/commons/c/cd/Accenture.svg,Accenture,Consulting
https://upload.wikimedia.org/wikipedia/commons/7/7b/Adobe_Systems_logo_and_wordmark.svg,Adobe Systems Incorporated,Technology - Software
https://upload.wikimedia.org/wikipedia/en/8/8c/AlixPartners_Logo.png,AlixPartners,Consulting
https://upload.wikimedia.org/wikipedia/commons/7/70/Amazon_logo_plain.svg,"Amazon.com, Inc.",eCommerce and Internet
https://upload.wikimedia.org/wikipedia/en/0/0a/Analysis_Group.png,Analysis Group Inc,Consulting
https://upload.wikimedia.org/wikipedia/commons/f/fa/Apple_logo_black.svg,Apple Inc.,Technology - Hardware
http://blog.aptamigo.com/content/images/2015/08/facebook-share-icon.png,"AptAmigo, Inc.",Real Estate
https://upload.wikimedia.org/wikipedia/commons/3/31/AT%26T_logo_2016.svg,"AT&T, Inc.",Telecommunications
https://upload.wikimedia.org/wikipedia/en/b/bc/Bain_%26_Company_logo.svg,"Bain & Company, Inc.",Consulting
https://upload.wikimedia.org/wikipedia/en/8/82/Bank_of_America_Merrill_Lynch.png,Bank of America Merrill Lynch,Financial Services - Diversified Financial Services
https://4.bp.blogspot.com/-bIk4ilgdwtA/U_UynnEy9yI/AAAAAAAADko/gLWWWtiMlFQ/s1600/Logo%2BBarclays_Bank.png,Barclays Bank PLC,Financial Services - Investment Banking/Brokerage
https://4.bp.blogspot.com/-bIk4ilgdwtA/U_UynnEy9yI/AAAAAAAADko/gLWWWtiMlFQ/s1600/Logo%2BBarclays_Bank.png,Barclays Capital,Financial Services - Investment Banking/Brokerage
https://www.noah-conference.com/wordpress/images/Bregal-Unternehmerkapital.png,Bregal Unternehmerkapital GmbH,Financial Services - Private Equity
https://upload.wikimedia.org/wikipedia/en/8/80/Brigham_and_Womens_Hospital_logo.svg,Brigham and Women's Hospital,Healthcare Services
https://upload.wikimedia.org/wikipedia/commons/6/6a/Brunswick_Corporation.png,Brunswick Corporation,Recreation/Leisure/Sports
